QUANTITY,MATERIAL,TEXTDATA,LABEL WIDTH(mm),LABEL HEIGHT(mm),TEXT HEIGHT(mm)
1,WHBK,"WBT002OSS1
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT002OSS1
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
3
I0
I1",14.986,44.958,2.55
1,WHBK,"WBT002OSS2
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT002OSS2
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
3
I2
I3",14.986,44.958,2.55
1,WHBK,"WBT002OSS3
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT002OSS3
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
3
I4
I5",14.986,44.958,2.55
1,WHBK,"WBT002OSS4
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT002OSS4
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
3
I6
I7",14.986,44.958,2.55
1,WHBK,"WBT002OSS5
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT002OSS5
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
3
I10
I11",14.986,44.958,2.55
